Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,39.529999,39.810001,35.889999,36.290001,31.649021,22491200
2014-02-01,36.310001,37.889999,34.939999,37.759998,32.931026,13046700
2014-03-01,37.400002,39.000000,35.939999,37.139999,32.390305,13608800
2014-04-01,37.290001,38.340000,35.349998,38.340000,33.621300,11403100
2014-05-01,38.340000,41.430000,37.930000,41.020000,35.971455,11710700
2014-06-01,41.130001,42.320000,40.290001,41.639999,36.515144,11507700
2014-07-01,41.689999,42.299999,40.150002,40.369999,35.582771,10940500
2014-08-01,40.209999,42.560001,39.430000,42.540001,37.495445,14267000
2014-09-01,42.520000,43.400002,41.070000,41.630001,36.693363,10705100
2014-10-01,41.650002,44.130001,38.279999,43.930000,38.965397,12634900
2014-11-01,43.980000,45.959999,43.669998,45.290001,40.171696,9225600
2014-12-01,45.180000,46.779999,43.080002,46.180000,40.961113,10792200
2015-01-01,46.250000,48.990002,44.639999,47.990002,42.822990,12948600
2015-02-01,48.150002,53.970001,47.209999,53.230000,47.498810,16537600
2015-03-01,53.180000,55.119999,50.910000,55.009998,49.087170,12179900
2015-04-01,54.830002,55.779999,52.400002,53.919998,48.366123,10506300
2015-05-01,54.160000,54.930000,50.549999,54.180000,48.599358,15264300
2015-06-01,54.320000,54.730000,49.669998,50.009998,44.858864,12517300
2015-07-01,50.310001,54.680000,50.310001,54.270000,48.933434,13514900
2015-08-01,54.360001,59.509998,49.009998,52.790001,47.598961,14003800
2015-09-01,51.700001,56.259998,50.410000,55.349998,49.907223,17462400
2015-10-01,55.490002,60.110001,54.200001,59.580002,54.030731,12597600
2015-11-01,59.570000,59.750000,54.110001,54.980000,49.859180,17394900
2015-12-01,55.200001,55.380001,52.200001,53.730000,48.725594,16863700
2016-01-01,52.910000,54.000000,48.560001,53.560001,48.850204,14530500
2016-02-01,53.169998,57.060001,50.299999,56.130001,51.194218,16262800
2016-03-01,56.549999,59.650002,55.529999,59.310001,54.094578,10430900
2016-04-01,59.009998,61.060001,58.200001,59.840000,54.868279,12868900
2016-05-01,59.939999,66.050003,57.919998,64.190002,58.856865,32447100
2016-06-01,63.959999,65.199997,61.410000,65.199997,59.782944,17730900
2016-07-01,65.250000,68.440002,64.959999,67.680000,62.347885,10195300
2016-08-01,67.739998,70.150002,66.389999,69.300003,63.840260,16421800
2016-09-01,69.309998,71.739998,67.269997,67.790001,62.449230,13243300
2016-10-01,67.660004,68.239998,63.720001,64.660004,59.848167,10457900
2016-11-01,64.680000,66.989998,59.860001,64.739998,59.922207,14915600
2016-12-01,64.720001,67.080002,63.279999,66.300003,61.366127,9694900
2017-01-01,66.519997,67.889999,65.220001,66.529999,61.889565,7578800
2017-02-01,67.000000,70.610001,65.519997,69.330002,64.494270,11843400
2017-03-01,69.650002,70.809998,66.820000,67.949997,63.210526,9151800
2017-04-01,67.839996,70.489998,66.489998,69.940002,65.376122,7668400
2017-05-01,70.000000,76.029999,68.160004,75.889999,70.937866,12478500
2017-06-01,76.000000,78.000000,73.550003,75.559998,70.629395,10484100
2017-07-01,75.739998,76.870003,73.910004,75.860001,71.225311,7028700
2017-08-01,76.190002,78.239998,71.580002,78.129997,73.356628,11054700
2017-09-01,78.139999,82.019997,77.470001,80.820000,75.882278,8837900
2017-10-01,80.760002,86.220001,80.699997,85.919998,81.042542,7879500
2017-11-01,86.139999,91.750000,85.879997,90.260002,85.136169,13398400
2017-12-01,90.110001,92.440002,88.120003,90.580002,85.438004,9110300
2018-01-01,90.720001,97.540001,90.379997,96.410004,91.309517,8072400
2018-02-01,96.290001,102.199997,87.510002,100.379997,95.069489,14516500
2018-03-01,100.529999,110.050003,98.540001,109.690002,103.886955,20242200
2018-04-01,109.110001,112.589996,105.879997,107.209999,101.881302,14215200
